Postcode,Latitude,Longitude,LSOA Code,LSOA Name
EH3 5QR,55.970034,-3.207596,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QS,55.970360,-3.207365,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QT,55.970908,-3.207350,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QU,55.970663,-3.207599,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QW,55.969429,-3.207016,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QX,55.970826,-3.208341,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QY,55.971010,-3.207898,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5RD,55.969635,-3.207086,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5RE,55.969919,-3.206438,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5XS,55.943214,-3.232955,S01008874,Deans Village - 07
EH3 6AA,55.953328,-3.208741,S01008852,New Town West - 04
EH3 6AD,55.953348,-3.208614,S01008852,New Town West - 04
EH3 6AJ,55.953539,-3.209260,S01008852,New Town West - 04
EH3 6AP,55.953991,-3.209915,S01008852,New Town West - 04
EH3 6AQ,55.952575,-3.209550,S01008852,New Town West - 04
EH3 6AR,55.953814,-3.210502,S01008852,New Town West - 04
EH3 6AS,55.953314,-3.211159,S01008852,New Town West - 04
EH3 6AU,55.952723,-3.210035,S01008852,New Town West - 04
EH3 6AW,55.953737,-3.209218,S01008852,New Town West - 04
EH3 6BB,55.959612,-3.190901,S01008846,New Town East and Gayfield - 02
EH3 6BG,55.954463,-3.206630,S01008852,New Town West - 04
EH3 6BH,55.954206,-3.207215,S01008852,New Town West - 04
EH3 6BJ,55.953862,-3.207444,S01008852,New Town West - 04
EH3 6BQ,55.954206,-3.207215,S01008852,New Town West - 04
EH3 6BT,55.953778,-3.208707,S01008852,New Town West - 04
EH3 6BX,55.954473,-3.210218,S01008861,Stockbridge - 05
EH3 6DA,55.955112,-3.210142,S01008861,Stockbridge - 05
EH3 6DE,55.953800,-3.207378,S01008852,New Town West - 04
EH3 6DH,55.954101,-3.206011,S01008852,New Town West - 04
EH3 6DL,55.954350,-3.206210,S01008852,New Town West - 04
EH3 6DN,55.954061,-3.206378,S01008852,New Town West - 04
EH3 6DS,55.955221,-3.207247,S01008852,New Town West - 04
EH3 6DT,55.955623,-3.208364,S01008852,New Town West - 04
EH3 6DW,55.954830,-3.206770,S01008852,New Town West - 04
EH3 6DY,55.956074,-3.208202,S01008852,New Town West - 04
EH3 6EB,55.955765,-3.207632,S01008852,New Town West - 04
EH3 6ED,55.955452,-3.206597,S01008852,New Town West - 04
EH3 6EE,55.956321,-3.206880,S01008852,New Town West - 04
EH3 6EF,55.956775,-3.207247,S01008851,New Town West - 03
EH3 6EG,55.957371,-3.207858,S01008860,Stockbridge - 04
EH3 6EH,55.957193,-3.207740,S01008860,Stockbridge - 04
EH3 6EN,55.955444,-3.202801,S01008852,New Town West - 04
EH3 6ES,55.955140,-3.204473,S01008852,New Town West - 04
EH3 6EX,55.954919,-3.206004,S01008852,New Town West - 04
EH3 6EZ,55.955171,-3.205884,S01008852,New Town West - 04
EH3 6HA,55.955224,-3.205101,S01008852,New Town West - 04
EH3 6HB,55.955788,-3.206175,S01008852,New Town West - 04
EH3 6HD,55.957003,-3.206886,S01008851,New Town West - 03
EH3 6HE,55.955966,-3.205460,S01008851,New Town West - 03
EH3 6HF,55.955728,-3.205052,S01008851,New Town West - 03
EH3 6HG,55.955571,-3.203606,S01008851,New Town West - 03
EH3 6HH,55.955894,-3.202767,S01008850,New Town West - 02
EH3 6HL,55.955685,-3.203882,S01008851,New Town West - 03
EH3 6HN,55.955984,-3.203619,S01008851,New Town West - 03
EH3 6HP,55.955722,-3.201016,S01008850,New Town West - 02
EH3 6HQ,55.956174,-3.203512,S01008851,New Town West - 03
EH3 6HR,55.955703,-3.201143,S01008850,New Town West - 02
EH3 6HU,55.955969,-3.199630,S01008850,New Town West - 02
EH3 6HW,55.955876,-3.204608,S01008851,New Town West - 03
EH3 6HZ,55.956485,-3.199262,S01008850,New Town West - 02
EH3 6JA,55.956921,-3.199660,S01008850,New Town West - 02
EH3 6JD,55.956141,-3.200436,S01008850,New Town West - 02
EH3 6JE,55.956435,-3.200670,S01008850,New Town West - 02
EH3 6JF,55.956531,-3.200096,S01008850,New Town West - 02
EH3 6JG,55.956244,-3.201881,S01008850,New Town West - 02
EH3 6JJ,55.956797,-3.200393,S01008850,New Town West - 02
EH3 6JL,55.956881,-3.201052,S01008850,New Town West - 02
EH3 6JN,55.957334,-3.199736,S01008850,New Town West - 02
EH3 6JQ,55.956749,-3.200711,S01008850,New Town West - 02
EH3 6JX,55.956563,-3.193963,S01008849,New Town West - 01
EH3 6LA,55.956506,-3.194265,S01008849,New Town West - 01
EH3 6LB,55.956942,-3.194727,S01008849,New Town West - 01
EH3 6LD,55.957351,-3.195236,S01008848,New Town East and Gayfield - 04
EH3 6LF,55.957011,-3.195979,S01008849,New Town West - 01
EH3 6LG,55.956968,-3.196714,S01008849,New Town West - 01
EH3 6LH,55.957523,-3.195097,S01008848,New Town East and Gayfield - 04
EH3 6LJ,55.957661,-3.195694,S01008854,Canonmills and New Town North - 02
EH3 6LL,55.957406,-3.196888,S01008849,New Town West - 01
EH3 6LN,55.957521,-3.198044,S01008854,Canonmills and New Town North - 02
EH3 6LP,55.956747,-3.197284,S01008849,New Town West - 01
EH3 6LQ,55.957246,-3.195826,S01008849,New Town West - 01
EH3 6LR,55.957186,-3.198258,S01008849,New Town West - 01
EH3 6LS,55.956865,-3.198088,S01008849,New Town West - 01
EH3 6LW,55.957073,-3.196958,S01008849,New Town West - 01
