Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
EH6 7NT,Yes,55.967343,-3.155508,327971,675529,NT279755,Leith,,1980-01-01,,22,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NU,Yes,55.967392,-3.154116,328058,675533,NT280755,Leith,,1980-01-01,,21,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NW,Yes,55.968721,-3.154220,328054,675681,NT280756,Leith,,1980-01-01,,14,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NX,Yes,55.967101,-3.156430,327913,675503,NT279755,Leith,,1980-01-01,,22,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NY,Yes,55.966615,-3.155599,327964,675448,NT279754,Leith,,1980-01-01,,23,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NZ,No,55.966533,-3.155661,327960,675439,NT279754,Leith,,1973-08-01,1992-07-01,24,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7PA,Yes,55.966830,-3.155669,327960,675472,NT279754,Leith,,1980-01-01,,23,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7PD,Yes,55.966327,-3.156600,327901,675417,NT279754,Leith,,2022-05-01,,24,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008762,Leith (Hermitage and Prospect Bank) - 01,S01014806,Leith (Hermitage and Prospect Bank) - 01
EH6 7PH,Yes,55.969707,-3.157357,327860,675794,NT278757,Leith,,1980-01-01,,11,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7PJ,Yes,55.969903,-3.153710,328088,675812,NT280758,Leith,,1980-01-01,,10,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7PL,Yes,55.969833,-3.151561,328222,675802,NT282758,Leith,,1980-01-01,,11,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008767,Leith (Hermitage and Prospect Bank) - 06,S01014813,Leith (Hermitage and Prospect Bank) - 06
EH6 7PN,Yes,55.969525,-3.151904,328200,675768,NT281757,Leith,,1980-01-01,,12,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7PP,Yes,55.968390,-3.152207,328179,675642,NT281756,Leith,,1980-01-01,,18,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7PR,Yes,55.967832,-3.152239,328176,675580,NT281755,Leith,,1980-01-01,,21,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008767,Leith (Hermitage and Prospect Bank) - 06,S01014813,Leith (Hermitage and Prospect Bank) - 06
EH6 7PS,Yes,55.967386,-3.151905,328196,675530,NT281755,Leith,,1980-01-01,,22,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008767,Leith (Hermitage and Prospect Bank) - 06,S01014813,Leith (Hermitage and Prospect Bank) - 06
EH6 7PT,Yes,55.967284,-3.153200,328115,675520,NT281755,Leith,,1980-01-01,,22,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7PU,Yes,55.967690,-3.153052,328125,675565,NT281755,Leith,,1980-01-01,,21,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
